Регион,Зараженных,Выздоровевших,Погибших,% Смертей
Французская Полинезия,42,0,0,0%
Замбия,39,5,1,2.56%
Каймановы острова,39,1,1,2.56%
Синт-Мартен,37,6,6,16.21%
Багамские Острова,33 (+4),5 (+1),5,15.15%
Эритрея,31 (+2),0,0,0%
Гайана,31 (+2),8 (+8),5 (+1),16.12%
Габон,30 (+6),1,1,3.33%
Бенин,26 (+3),5,1,3.84%
Танзания,24,5 (+2),1,4.16%
Гаити,24,1,1,4.16%
Мьянма,21,0,1,4.76%
Мальдивы,19,13,0,0%
Сирия,19,2,2,10.52%
Ливия,19 (+1),1,1,5.26%
Новая Каледония,18,1,0,0%
Гвинея-Бисау,18,0,0,0%
Намибия,16,3,0,0%
Ангола,16,2,2,12.5%
Экваториальная Гвинея,16,3,0,0%
Доминика,15 (+1),1 (+1),0,0%
Антигуа и Барбуда,15,0,0,0%
Фиджи,15 (+1),0,0,0%
Монголия,15,4 (+2),0,0%
Судан,14 (+2),2,2,14.28%
Сент-Люсия,14,1,0,0%
Лаос,14 (+2),0,0,0%
Либерия,14,3,3,21.42%
Кюрасао,13,5,1,7.69%
Гренада,12,0,0,0%
Сейшельские Острова,11,0,0,0%
Сент-Китс и Невис,11 (+1),0,0,0%
Гренландия,11,4,0,0%
Эсватини,10,4,0,0%
Зимбабве,10,0,1,10%
Мозамбик,10,1,0,0%
Суринам,10,0,1,10%
Чад,9,0,0,0%
Непал,9,1,0,0%
Центральноафриканская Республика,8,0,0,0%
Кабо-Верде,7,1,1,14.28%
Белиз,7,0,1,14.28%
Ватикан,7,0,0,0%
Сомали,7,1,0,0%
Монтсеррат,6,0,0,0%
Никарагуа,6,0,1,16.66%
Мавритания,6,2,1,16.66%
Ботсвана,6,0,1,16.66%
Бутан,5,2,0,0%
ДНР,5 (+2),0,0,0%
Гамбия,4,2,1,25%
ЛНР,4,0,0,0%
Бурунди,3,0,0,0%
Папуа - Новая Гвинея,2,0,0,0%
Сент-Винсент и Гренадины,1,1,0,0%
Восточный Тимор,1,0,0,0%
